,日期,標題,內容,讚數
0,2021/05/18 13:07,"聯電, 華邦電, 友達, 群創, 加權指數",群創友達加權指數聯電華邦電金牌密令之孫悟空吃光仙桃園，恭喜今日做多散戶，明天還可以高興一天，還有200點可以漲，敬請把握歡樂時光，因為歡樂總是短暫迷濛的，不知道今天疫情能不能龜苓膏啊…龜苓膏龜苓膏龜苓膏，不可能嗎？那大盤漲上去也是一樣的，面板跌12個交易日，漲停一天值得高興一天，明天還有機會高興一天，恭喜搶多的散戶了，粉絲們不用著急，下週五前都有更低機會買進，那520還漲不漲啊！追蹤我不定時分析粉絲們按讚,"1,772"
1,2021/05/18 13:48,"聯電, 華邦電, 友達, 群創, 加權指數",群創友達加權指數聯電華邦電老粉絲們上課了，圖一加權指數最高減掉回檔最低（17709－15159）×反彈黃金比例0.382＝974反彈黃金比例點數圖二，三974－台股收盤漲792＝182點明日開盤還能漲182點上下的機會，老粉絲們，公式是這樣來的，0.382是弱勢反彈位置，學到粉絲們按讚,"2,320"
2,2021/05/18 14:41,"聯電, 鴻海, 友達, 群創, 彩晶",5/18疫情更新、盤後分析～中央流行疫情指揮中心宣布，今天國內新增245例武漢肺炎確診病例，其中240例本土病例、5例境外移入，另有兩例死亡。今天確診人數雖然較昨日下降，大家仍需要小心防疫，不能因此而鬆懈！在昨日融資大減、今日外資應該大量回補空單，台股終於跌深反彈，大漲了近800點，站穩了16000點，面板三傑全面亮燈鎖住漲停，面對疫情的變數，大家仍需要小心，因為往往消息面對股市的影響會又快又急，讓投資人常常會不知所措！面板、航運、鋼鐵這波跌幅較深個股，今日紛紛大漲，連日跌深的權值股聯電、鴻海今日也反彈大漲，若疫情持續穩定不再擴增，台股有機會慢慢回穩！長期看好面板的同學持股抱牢就好，短線不需要看漲就去追高回補，待疫情穩定下來後再決定要不要加碼！5/20除了總統就職週年外，5月下旬面板報價將公布，預計報價仍持續上揚格局！,"1,177"
3,2021/05/18 13:27,加權指數,我曾經是一個被學校遺棄的孩子我的老師總是說我....跟別人都不一樣！叛逆！特立獨行！我總是一個人坐在角落覺得沒有人懂我....老師，學校都討厭我...ㄟ！導播！燈光再調暗一點！這種氣氛你開什麼蘋果光啦！？（怒後來，金融市場讓我發現了，我不是不對，而是當時我無法證明社會集體共識常常是一種「盲目」現在社會的集體共識是什麼？崩盤之後，今天大反彈！凱瑞：你說什麼？散戶：反彈！所有人都知道！凱瑞：喔...蔡阿姨！你怎麼說呢？,930
4,2021/05/18 12:38,"友達, 群創, 彩晶",昨天有同學問到一則新聞，大陸面板大擴產，對面板產業的影響！我看到這則新聞，我直覺又是媒體聳動下標，故意引導投資人錯誤解讀，讓大家覺得在最近面板大跌過程中，再增一筆利空！剛好又有達人拿此新聞來嚇唬同學，我就來跟大家說明，這篇報導對面板產業影響！先來看看報導內容說的是康寧「玻璃基板」在京東附近設廠，準備量產大尺寸玻璃基板提供給京東方，看清楚是「玻璃基板」新產能，不是新的面板產能，也就是說京東方原本缺大尺寸玻璃基板，有機會獲得紓解，65吋面板產能「可能」提升30%，而且韓媒報導可能增加30% 65吋產能比較值是2020年，2020年65吋出貨因疫情關係，其基期是很低的。京東方的10.5代廠產能受到零組件缺料影響，康寧玻璃基板可以紓解京東方的不足，但最近面板零組件缺料的不只玻璃基板，目前驅動IC更缺，所以京東方大尺寸產能要提升仍會受到其他零組件缺料影響，因此短時間也把產能利用率拉高還是有困難，若驅動IC產缺料舒緩，也只會先讓大尺寸TV面板漲幅稍緩，對整體面板廠整體獲利不見得是負面的。另外面板廠近三年沒有建新廠才是這波面板價格上漲的關鍵，增加玻璃基板產能只會紓解零組件缺料，對目前面板廠出貨反而是好的，一來玻璃基板就不會因為缺料價格上漲，二來各面板不用到處搶零組件，造成缺料！對於新聞的解讀其中的內涵是很重要的，常常很多投資人看到聳動的標題，就直接認為是利空，更可惡的是有人會利用此新聞來嚇唬投資人，讓投資人做出錯誤的判斷，這是非常不負責任的行為！有任何面板相關新聞的解讀，歡迎大家一起來討論！,"1,324"
5,2021/05/18 13:45,加權指數,每次大盤不理性連續大跌，我的腦海就一直浮現四個字：「價值投資」，我很慶幸自己沒有因為股市大跌而恐慌，因為恐慌而忘記價值投資的初衷，昨天晚上還有勇氣說今天要勇敢買，其實承受了不小的壓力，自己投資賺錢很輕鬆，要在公開領域被驗證其實不容易。,"1,208"
6,2021/05/18 12:55,"中鋼, 中鴻, 群創, 加權指數, 天鈺",不魯操作邏輯其實這波疫情大殺一直看小朋友的都很清楚我們三人看的角度每個地方的語音其實都講得很清楚大方向應該是要怎麼看 自己的操作應該要怎麼做所以很多酸酸一直吠馬後炮 我也是覺得你是對的喔 我馬後炮 不客氣然後從今開始 酸酸一氯封鎖掰一!加權指數(TWA00),"1,350"
7,2021/05/18 14:41,"友達, 長榮, 陽明, 群創, 加權指數",最保守的四檔上個禮拜六就分享給粉絲朋友了也明白的告訴各位這是非常安全的標的分批下去買就對了分享給各位是設身處地為你們著想大跌崩跌很多人失去了信心但這四檔非常安全在黃小弟眼中甚至比定存還安全且報酬比定存活存好太多了！黃小弟認為在這個零利率時代嚴重通膨的時代各位的辛苦錢不該被極低的利率這樣糟蹋！如果你連一股都沒買那接下來要分享的股票你更不可能有信心、膽試參與！黃小弟知道散戶喜歡眼見為憑今天大漲了你願意相信疫情只是一時的嗎？黃小弟告訴各位疫情會過去只要好好防疫人會留下這幾天爆料同學會的氣氛真的太低迷了現在如果你們重新看見了希望按讚留言讓我知道！本篇超過3000讚黃小弟馬上把這陣子所有的研究成果分享出來在此之前快點追蹤按讚留言！！！,"1,036"
8,2021/05/18 12:54,"長榮, 陽明, 萬海, 敦泰, 加權指數",波段GINO盤中觀念今天整個盤面大漲很多人應該又疑惑到底要不要進場昨天是不是出錯了關於是不是出錯可以看我之前的觀念文章其實不管你那時候出場都會算命師說你出錯了XD今天算命師應該又會說不進場 你等著被嘎空手XD我自己目前還是不會進場就是了這裏依照我的策略還是會先看做一個支撐反彈個股多半也是跌深後大漲明天再來看看吧好股票的話漲不會只漲一根所以大家也不太用怕錯過上漲的時機抓好自己有把握的點位比較重要看看陽明之前漲了多久～前面漲了10～20%真的是追高嗎給新手一個交易觀念有幫助的話就按個讚,"1,457"
9,2021/05/18 13:46,"鴻海, 台積電, 聯發科, 加權指數",【前10大權值股佔今日大盤漲跌點數統計】5/18日加權指數上漲792.09點，漲/跌點數超過200點因此整理此表格，幫助戰友們提高盤勢掌握度🍁台積電漲/跌1元，影響指數8.25點今日台積電上漲23元，貢獻加權指數上漲189.8點鴻海漲/跌1元，影響指數4.56點今日鴻海上漲8.8元，貢獻加權指數上漲40.1 點聯發科漲/跌1元，影響指數0.58點今日聯發科上漲80元，貢獻加權指數上漲46 點10大權值股今日總計貢獻加權指數上漲353點另外，金融族群貢獻加權指數上漲72點10大權值股+金融族群貢獻加權指數上漲425點以下以此類推可以自己做一下功課，研究看看【延伸閱讀】權值股漲跌1元影響的大盤點數跟當天加權指數收盤價位、權值股權重都有關聯雖然今日台積電漲跌1元目前是影響指數8.25點但是這個數字是每天都會浮動的，這一點要特別留意呦!!個股權重僅供參考若表格數據未即時更新請以台灣證券交易所公布的最新數據為準(固定每月1號更新一次)🍁但願善良、勇氣與智慧，與我的好朋友們同在 !!►------------------------------------------這資料是我親自從台灣證券交易所一筆一筆抓出資料，再一筆一筆key到Excel，最後製作成表格給大家的不按個讚👍、追蹤一下怎麼對得起自己的良心 ٩(^ᴗ^)۶►------------------------------------------,602
