,日期,標題,內容,讚數
0,2021/05/20 07:19,"華碩, 健策, 鈺太",5月20投資早報美股道瓊下跌0.48%，納指下跌0.03%，費半上漲1.98%。道瓊開盤一度大跌587點。網路財經媒體的標題是：通膨疑慮再起。美股開盤重挫。但其實昨天原物料大宗物資是重挫的，CRB指數下跌1.9%紐約輕原油下跌3.25%，倫敦銅期貨下跌3.34%，倫敦鋁期貨下跌1.42%，倫敦鎳期貨下跌3.75%。小麥期貨下跌2.04%，黃豆期貨下跌1.98%，只有玉米期貨反彈上漲0.44%，其實玉米也從高點回落不少了。關於通膨，中國政府是最關切的，中國也意識到了物價上漲的壓力，昨天李克强主持國務院常務會議就説了：要高度重視大宗商品價格攀升帶來的不利影響，部署做好大宗物資商品保供穩價工作，保持經濟平穩運行。目前原物料的上漲，有預期跟哄擡及過度提高庫存等因數。中國政府一宣誓，原物料就馬上有所影響。但歐美疫情已經明顯降溫，大概再2-3個月因爲疫苗的有效覆蓋達70%以上，整個美國跟歐盟國家都會恢復正常運行，倒是真的大宗物資的需求就會到來，而且是報復性的需求，目前的預期需求以後可能會成爲剛性需求。昨天美國鋼鐵大跌5.07%，美國鋁業更是大跌9.21%。昨天台股的鋼鐵股是漲幅第一的類股，上漲7.93%，航運漲幅第二，上漲7.79%。鋼鐵人跟航海王連續兩天大漲，主要也是跌深反彈。前幾天很多股票連跌3根跌停，現在是連續兩根漲停。今天美股的走勢是否會讓資金重回半導體是我們要觀察的重點！其實本來預估周一要進場加碼的，因爲疫情數字的暴升，延後到周二進場。其實周一尾盤應該是最好的進場點，周二很多股票都已經直接開高。有些股票前一波下跌是提前止跌的，上周四到周一並沒有怎麽跌，而且周二也繼續强勢表現，比如說華碩，華碩Q1獲利13.18元，昨天創新高股價來到409，即便是創新高本益比都只有8.6倍。也就是之前是過度低估了，所以抗跌，在大盤反彈的時候就創了新高。另外一檔創新高的股票是鈺太。鈺太我之前買過，是我最喜歡的成長股類型，做微機電麥克風（MEMS），也是跟音頻處理有關的公司，但鈺太跟華碩不同，鈺太一直維持著高本益比，目前本益比39倍，按今年獲利的預估本益比也有27倍。我一直認爲高成長的股票值得高本益比。但這高本益比也要有人認同股價才能維持，華碩跟鈺太都是近期投信大買的股票。投信是喜歡追漲殺跌的，投信把你捧在手上股價就很凶猛，當他們不要你的時候，也會被殺的偏題鱗傷。健策是另外一檔最近投信連續大買的股票。在昨天下跌之前是K线5連紅，中間還有一天是漲停的。但健策跟華碩鈺太的創新高不同，前一波健策就被投信殺的遍體鱗傷。這些這波抗跌又領先創新高或底部大漲的股票有可能扮演股市重返多頭走勢的急先鋒。資金還是寬鬆，台股上市櫃已經上演8800億的成交量能，我覺得大盤再創高只是時間問題。這波下跌回檔主要是疫情影響，我還是覺得疫情是一時的，而且疫情對上市公司的獲利表現影響不大（部分類股除外）我還是堅持看多，目前持股部位6成，等行情比較穩定，或者想加碼的股票到了心儀的價位，會繼續加碼。其實周一收盤真的很多股票的價格覺得很漂亮，這兩天確實也反彈不少了。目前局勢未穩保留一定的現金部位，還是相對比較安全的。原物料我還是看好，今天可能也會比較震蕩，我還是會有一定比例的佈局。電子我還是長期最看好，電子我會放6成的資金。金融我不看壞，但不習慣買就不去碰了。很多人持股很極端，我盡量保持均衡為原則。喜歡我的文章請點讚並分享，感謝你。,"2,586"
1,2021/05/20 04:58,"聯電, 華邦電, 友達, 群創, 加權指數",群創友達加權指數聯電華邦電開盤前重點：老粉絲們這種外資法人騙盤，對任何一個股市獲利高手，閉著眼睛都看的出來，這些高手會把握機會，大大的加碼放空漲停，希望在三個月後所有的老粉絲們，都能在這波特殊盤面，學到看盤的精華，都能獨立自主操作賺錢，只要學好波段底部進場操作，這樣就很利害了，像我這種每天多空都做，急短單進出的人，也不是少數，不過大部分的散戶是瞎做，負責賠錢那一組，高手是負責賺錢那一組，昨天收盤後車商通知我去牽買給孩子的新車，現在國產車配備做的真齊全，很適合新手新鮮人駕馭，那些酸民輸錢散戶，以為我會在乎他們按倒讚，留酸言酸語，我哪有空理這群輸家，我贏錢贏的開心的很，哪有時間理會他們，對於昨天最後那一篇發文，酸民太少按倒讚的也太少，我預計今天酸民沒空來發言，因為今天會輸錢輸到希利嘩啦，死抱不放的還能輸到融資斷頭，沒融資的至少輸到下週五，老粉絲們今天要注意：1.假如你有放空不要補太早，下週一再看看是不是相對低點回補。2.不是高手粉絲今天早盤注意韭菜砍股票的盤勢。3.盤中來可以看外資法人如何砍股票，注意看委買賣單數量變化，學起來看外資法人如何砍單，出貨數量速度，我每天都是看委買賣五檔數量，交易量來判斷外資買賣超。4.盤尾注意看外資如何砍單，又邊引誘韭菜散戶追買，搶買跌停。5.今日最低點，明日最高點。6.沒有消息面，沒有籌碼面，只有外資法人誘買，砍單，倒貨，急拉，再砍到躺平。7.這兩周每天都要緊盯疫情變化。8.今天沒有什麼神秘數字，今天只有（跌停）兩個字。9.我之前說過我在股票市場高手圈，只能排名第五萬零一名，這件事情真的，股票市場至少有十萬人每天都能輕鬆自在贏錢，這件事情也是真的。10.精華組：術業有專攻，聞道有先後。     對照組： 樹大必有枯枝，人多必有白吃。追蹤我不定時分析粉絲必按讚,"3,521"
2,2021/05/20 06:41,"台聚, 大亞, 宏泰, 潤泰新, 漢翔",🍔🍔🍔大家早安！讓別人快樂是一種慈悲。讓自己快樂是一種智慧。請用歡樂的心情迎接美好的一天。💪💪💪星期六早上美國股市收盤情形：1.道瓊跌164點（-0.48%）。2.那斯達克跌3點（-0.03%）。3.費城半導體漲58點（+1.98%）。4.S&P 500跌12點（-0.29%）。5.台積電ADR漲1.56元（+1.41%）。6.聯電ADR漲0.1元（+1.16%）。7.鴻海ADR跌0.2元（-2.66%）。8.紐約原油目前為63.38元。🤑🤑🤑台灣目前缺水、缺電、疫情爆發又缺疫苗，民怨四起，民眾對執政黨滿意度直直落，如果你是執政黨會再讓股市崩盤嗎？答案當然不會，因為這些不利執政的因素最好掌控的就是股市。其實政府不用動用國安基金就可以影響股市，只要金管會找三大法人、股市大戶喝個下午茶，相信他們都會賣面子，因為股市很多看不到的黑暗面，只要金管會出手查水錶，這些三大法人、股市大戶都會死得很難看。今天是520相信三大法人尤其是外資應該不敢打臉蔡政府。💝💝💝耐心等待財富（神、運）自來。🚞🚞🚞跟著《發財1哥》走，一路-----發！發！發！,"2,524"
3,2021/05/20 07:45,"友達, 長榮, 陽明, 萬海, 群創","阿土伯分享5月20日整理的財經大事（摘自經濟*報），歡迎追蹤阿土伯，帶你炒股炒地皮，前進大富翁之路，美股清晨收盤四大指數均開黑，但盤中 費城半導體指數翻紅後一路走高，其他三大指數收盤跌幅也逐漸收斂，道瓊工業指數下跌-164點，S&P500 指數下跌-12點，NASDAQ 終場下跌-3點，費半指數上漲+58點。台股ADR開低走高，終場台積電ADR上漲+1.41%，友達ADR+2.04%，聯電ADR +1.16%，鴻海ADR -2.66%，日月光ADR +0.13%，南茂ADR +0.23%。今天結論：台股前天大漲後，昨天小漲小跌在阿土伯昨天的盤前文章就已經預料，走勢也如阿土伯所料，今天因為520行情，雖然全國變成三級警戒，阿土伯去找了近五年520行情，100%收紅，所以阿土伯也預料今天仍舊收紅機會較高。阿土伯近期較少分析個股，原因是台股在系統式風險下，分析各股的意義性不大，因基本面、技術面、消息面都已經失真，須待疫情這幾天較為明朗，才能繼續台股走勢，不過 低基期 營收大成長 殖利率高的股票，是阿土伯這波急殺會買的股票!一、水荒衝擊竹科！再不下雨 新竹6月起「供五停二」水情嚴峻衝擊竹科，旱災中央災害應變中心昨（19）日會議後，經濟部水利署長賴建信表示，由於5月幾無降雨，5月中下旬的梅雨也可能延後到6月，因此宣布即日起至5月31日前，若水庫集水區累計降雨量未達100毫米以上，新竹地區自6月1日起轉紅燈，實施「供五停二」。二、供電拉「緊」報 還有未爆彈電力供應連日吃緊，台電昨（19）日公布，尖峰最高用電達到3,757.4萬瓩，還未正式進入炎炎夏日，尖峰用電量就已擠進歷史第三高。公開訊息更顯示，核二廠1號機已排定6月上旬或中旬除役，大約只再運轉不到20天，所減少的98.5萬瓩勢必成為今夏用電未爆彈。三、熱錢落跑 台幣強升變小貶外資變臉大賣台股，熱錢上演落跑戲碼。國內爆發缺水、缺電與社區感染擴大等問題，讓連日買超台股的外資態度丕變；匯銀主管指出，外資昨（19）日賣超台股後也確實匯出資金，午後顯著有撤出力道，導致匯市豬羊變色，新台幣匯率從強升逾1角變貶值3分，收27.982元，總成交量17.92億美元。四、防疫保單存續 官方道德勸說疫情升溫，但產險業卻紛紛停售防疫保單，被立委批「穩賺才做，賠錢不做」，影響公司形象。保險局局長施瓊華昨（19）日出席立法院財政委員會議後，緊急召集14家仍銷售防疫保單的產險公司，進行「道德勸說」，並作出二點指示。 五、美日大投資 晶片爭霸戰火熱全球「晶片爭霸戰」日益白熱化，美國國會提議加碼520億美元投資晶片業，力拚五年內提升半導體研發和生產能力，日本政府正研議草案，將「大幅加碼」原有的2,000億日圓資金，扶植國內晶片業，成為繼南韓與中國大陸之後，各國強化晶片自給能力的最新行動。",827
4,2021/05/20 09:30,"第一銅, 長榮, 陽明, 加權指數, 天鈺","不魯盤中 錢在哪 0930*透過成值排行來看""""當天""""大盤的錢聚集在哪裡（可以是買or賣）成值=股價X成交量所以不一定強勢=錢多， 意旨跟大家分享如何看盤而不是看自己的庫存而已。**標的股只是標錢聚集很多的標的 不是標的就是推的或是有的大錢在 海運  部分IC 鋼鐵 筆電 面板明顯的海運比較一致往上以外 其他今天是休息的生計 我不想看 遊戲也懶的理本來 殺一大波下來後 需要時間往回走跟昨天說的依樣 慢慢來比較多肉...(擦口水海運我是放風箏了 怎麼震都不關我的事但昨天的新單元有講 短線我還是會鹹豬手我是喜歡一直抓著最棒的那幾個 長短通吃啦....(擦口水什麼? 你想問我怎麼吃豆腐...?不好吧 這需要儲值很多ㄟ!!加權指數(TWA00)","1,318"
5,2021/05/20 06:36,"友達, 群創, 彩晶",發現一個有趣現象，面板三傑已經急跌40%左右。這兩天反彈上漲融劵放空一直在增加，面板股價已經在地板上。還是很多人看不爽，想要再補一刀讓面板三傑難以翻身。今天如果彩晶再拉一根漲停板，代表面板三傑正式擺脫泥淖。彩晶連三天拉漲停板漲勢再次發動，面板正式回歸主流類股。低價、低本益比、漲價概念股，早晚會回到市場價格繼續攀升。股票迷人的地方，就是永遠不知道明天會如何反應。等開獎結果，天天有驚喜、天天有驚奇讓人難以捉摸。以上言論僅供參考，買賣股票自負盈虧。PS:我看好彩晶今天再拉一根漲停板！期待中。,"1,387"
6,2021/05/20 06:52,"聯電, 台積電","聯電千億擴產氣勢佔上風　8大客戶包6年產能、接受2年漲勢Digitimes 2021-5-20聯電日前所釋出的南科12吋廠Fab 12A P6廠區的新台幣1000億美元擴產投資計畫取得8家晶片大廠長期合作承諾。據了解，除議定價格且預先支付訂金外，出乎預期的是，8大廠同意包下6年產能，之後設備機台也歸聯電所有。半導體業者分析指出，由於8吋、12吋成熟製程產能搶手，晶片廠為解決眼前缺貨問題，以及看好未來需求反轉幅度也不會太大，因此只好同意聯電提出方案。對聯電而言，簽訂長約以確保產能利用率與折舊攤提，完全將未來市況反轉、產能閒置風險降至最低，加上至2022年底漲勢確立，未來2年獲利增長可期，營運表現若無意外，數年內應可保持穩健獲利水平。在2020年疫情爆發前，全球晶圓代工市場除了擁有過半版圖的台積電獲利驚人，以及轉投資的8吋晶圓代工廠世界先進業績尚可外，包括三星電子(Samsung Electronics)、GlobalFoundries(GF)、聯電、中芯，其他代工廠的利潤則是微乎其微，甚至出現虧損，且多數業者更因技術、人才與資金受限，接連退出先進製程競賽。但原本已難扭轉的競爭局勢，就在疫情爆發後，宅經濟應用需求意外激增，加上5G、AI 世代來臨，連鎖效應引爆全球晶圓代工產能供不應求盛況後，不僅台積電業績飆新高，包括聯電、中芯、GF與力積電等更是敗部復活，從未見過的產能全數滿載與排隊客戶看不到盡頭罕見榮景，助力二線代工廠大掀漲價潮，帶動業績逐季創高。而其中，面對需求不斷揚升，客戶訂單不斷湧入，產能擴增有限的聯電，靠著2020年下半調漲代工價格，全年獲利寫下14年新高，2021年所有廠區產能全數滿載，更預告第2季ASP將明顯成長，毛利率衝上30%大關，獲利持續向上。據了解，聯電看好成熟製程供給未來3年仍會嚴重短缺狀態，為擴大接單實力，大舉宣布擴充南科Fab 12A P6廠區的產能，總投資金額高達1,000億元，預計2023年第2季投入生產，由於聯電營運沉寂多年，也因此重金擴產大計能否回收，備受市場關注。對於千億擴產，聯電明白表示，多年以來因為成熟製程的產能不再擴充而造成供需嚴重失衡，最近「市場動態」讓聯電有機會再強化以投資回報率為導向的資本支出策略，同時能夠紓解供應鏈長期以來的產能限制。據了解，聯電相當清楚未來市況也將出現反轉，因此P6廠建置已做好萬全準備，除已與聯發科、聯詠、瑞昱、三星與奇景等8家橫跨台韓美歐系晶片大廠議定晶圓代工價格且預先支付訂金外，更令市場驚訝的是，8大客戶包下長期產能，時間長達6年，同時6年後設備機台亦歸聯電所有，此協議的運作模式，確保聯電投資不虧本，未來數年產能利用率也可維持高檔。除了中國業者外，對於晶圓代工廠而言，擴產投資成本高，風險也相當大，台積電董事長劉德音就明確表示，28奈米產能現在大缺，是因為百年難見的疫情與貿易戰等諸多因素造成，在正常市況下，全球產能供給還是大於需求，但台積電為了客戶還是會盡力增加產能。半導體業者表示，台積電、聯電願意砸下重金進行28奈米等成熟製程擴產，主要是已確定長約訂單落袋與ASP有所提升，投資成本可回收且風險降至最低，而當中，聯電能將長約拉長至6年，且客戶目前也接受2021~2022年季季漲策略，完全顯見晶圓代工在未來2~3年仍是強勢賣方市場，若需求反轉，還有長護體，營運衝擊將降至最低，可預期的是，聯電在漲勢凶猛下，至2022年底獲利成長可期。","1,189"
7,2021/05/20 08:02,"長榮, 陽明, 國泰金, 中信金, 群創",【短線熱門股】篩選條件📌 券商合計，最近 3 日，累計買超張數前 20 名的個股📌 外資合計，最近 3 日，累計買超張數前 20 名的個股📌 以上條件至少符合一項，部分個股同時符合兩項條件【說明】熱門股僅代表資金進駐但未必等於股價一定漲水能載舟、亦能覆舟資金進駐股價若漲不動外資、主力也有可能反手賣出若要追逐熱門股須嚴格設定停損收好!!🍁預祝操作順利、百尺竿頭、獲利奔馳 🐎 ~►-----------------------------------------------🏆【免責聲明】個人投資經驗分享，無任何推介、招攬之意惟過去歷史未必複製於未來、資訊僅供參考讀者應獨立判斷，審慎評估、自負投資風險歡迎分享、轉貼，幫助更多投資朋友 🍁►-----------------------------------------------無償分享，請按讚支持 ❤ ~,587
8,2021/05/20 06:31,"聯電, 台積電, 友達, 群創, 加權指數",清晨美股收盤行情美股清晨收盤美股四大指數全面下跌開出，但盤中費城半導體指數翻紅一路走高，帶動其他三大指數收盤跌幅收斂，道瓊工業指數下跌-164點，S&P500 指數下跌-12點，NASDAQ 終場下跌-3點，費半指數上漲+58點。台股ADR開低走高，終場台積電ADR上漲+1.41%，友達ADR+2.04%，聯電ADR +1.16%，鴻海ADR -2.66%，日月光ADR +0.13%，南茂ADR +0.23%。道瓊 -164（-0.48%）NASDAQ -3（-0.03%）S&P 500 -12（-0.29%）費半+58（+1.98%）台股ADR台積電 +1.41%聯電 +1.16%友達 +2.04%鴻海 -2.66%日月光 +0.13%南茂 +0.23%台股昨日受到外資大賣，但在內資對作持續買超下指數僅小跌13點，今日台股ADR回穩，僅鴻海收跌其餘均上漲，可望帶動台股穩盤。面板股昨天與鋼鐵、航運成為盤勢主流，今日是否持續走高值得觀察，外資昨天大賣今天進出動態也將成為盤勢關鍵，若外資持續賣超，政府八大官股會不會暗中護盤，是否有520行情值得觀察。台灣疫情持續，昨日宣布全台進入第三級警戒，疫情期間仍需要全民共同努力做好防疫工作，大家一起加油！💪💪💪,"1,250"
9,2021/05/20 07:40,"聯電, 鴻海, 台積電, 友達, 元大台灣50","【全球金融市場⏰關鍵資訊掃描】5/20日清晨最新數據【台指期貨夜間盤】➭上漲57點【道瓊指數】      ➭下跌164點【費城半導體指數】➭上漲1.98% 【台積電ADR】   ➭上漲1.41%【鴻海GDR】     ➭下跌2.66%【聯電ADR】     ➭上漲1.16% 【友達ADR】     ➭上漲2.04%【Fed 購債計畫、利率政策】4/29日Fed維持1200億美金/月的購債➭800億美元的美國國債➭400億美元的住房抵押貸款支持證券（MBS）直到就業和通貨膨脹目標取得實質性進展為止Fed升息日期從原先的2024年可能提前到2022~2023年【美國財報週】➭3月初四分之三的企業財報優於預期➭4月底標普500指數成分股公布財報，業績好於預期者佔比87%【非農數據、就業數據】➭4/2日公布3月份非農就業報告增加91.6萬(遠高於預期!!)，美國3月失業率下滑至6%➭5/7日非農業就業人數僅增加26.6萬人，遠低於市場預估的100萬人，也比3月時增加77萬人劇減，且失業率意外上揚至6.1%【美國政經消息】➭防疫期間，美國民眾存下1.5兆美元，若民眾去年的儲蓄全數轉換為消費金額，將使美國今年GDP成長率大幅加速至9 %、遠優於目前預估的4.6 %➭3/9日經濟合作發展組織（OECD）上修今、明兩年全球經濟成長率預測，今年成長預估上調1.4個百分點至5.6%，明年也調高至4.0%➭3/12日拜登簽署1.9兆美元紓困法案，接著將推動大規模的基礎建設方案，有望在5月成形，並於9月前簽署➭4月初公布主要經濟體公布製造業PMI(皆創下多年新高)➭ 4/13日公布美國3月消費者物價指數（CPI）較去年同期上升2.6％，大幅度成長的原因是去年基期低➭4/28日拜登宣布加稅　富人稅增至39.6%➭4/30日拜登首赴國會聯席演說，將投入4.1兆美元「讓中產階級再次偉大」，1.8兆美元的《美國家庭計畫》、2.3兆美元的《美國就業計劃》，兩項計畫資金來源主要是向富人增稅➭5/3日美國公布4月製造業PMI，自37年高點回落至60.7，但價格指數依舊衝高，顯現出原物料、零件缺貨問題持續刺激商品價格高漲➭5/12日美國勞工部公布4月消費者物價指數（CPI）比一年前躍升4.2%，增幅遠高於道瓊訪調經濟學家平均預測的3.6%，且為2008年9月來最大。此數據加深了通膨急速升溫的疑慮【台股關鍵數據追蹤】➭2/26日外資賣超944億(歷史最高)➭3/4日外資賣超525億(歷史第三高紀錄)➭4/27日國發會發布今年3月景氣對策信號為連續第2個亮出代表景氣熱絡的「紅燈」，綜合判斷分數維持為40分，與上月持平，反映國內經濟持續走強➭5/12日台股成交量7828億創下歷史天量➭4/4日上市櫃公司去年全年獲利創歷史新高，去年第4季7,648億元獲利為同期最佳、全年稅後純益達2.46兆元，年增21.9%，並有113家公司大賺逾一個股本、大幅高出前年的83家，226家每股純益創新高、超過前年的149家➭我國央行貼放利率「連四凍」維持現行1.125%的歷史新低水準，預估在半導體與內需消費支撐下，台灣今年 GDP 可望上看5%➭金管會5/5日公告，外資與陸資4月合計淨匯入50.38億美元，終結兩個月淨匯出➭MSCI調降台灣股市投資的資金，另外納入陽明，均在5月27日會調整完畢🍁預祝操作順利、百尺竿頭、獲利奔馳🐎~",440
