,日期,標題,內容,讚數
0,2021/5/16 05:57,"聯電, 台積電, 華邦電, 友達, 群創",群創友達聯電華邦電台積電親愛的老粉絲們，1.下週疫情發展，請相信台大感染科李秉穎醫師，黃立民醫師對疫情的發言評論，其他小道消息都不要聽，也不要傳，疫情不是忽然擴散的，是漸漸散播開來的，也會像上面兩位專家說的，一個月內能夠控制住，讓疫情恢復小規模傳染，那真的是天祐台灣了！2.股票至少要大跌一週，盤跌一週，老粉絲們可以在5月28日之前，精選進場股票，中期投資業績績優股。3.什麼位置買？上一篇技術分析已經寫的很清楚，未來五天我理論上不會買任何股票，除非連續大跌五天，我要買的半導體，面板，航運來到十月線，我才會出手買進。4.老粉絲們這次疫情大跌，幾乎所有的股票股價，都回不去原來最高點，三個月到半年最多回到原高點的七成九成，這樣的機率非常高（有變動會提早告知）。5.老粉絲們都有五星評級（讚喔你真棒！標記），不是老粉絲級數不用問問題，我不會回答，老粉絲們問問題我需要回答提醒，會回答在老粉絲們的五星評級下面留言，自己去關注！6.至於那些假粉絲留言揶揄，耍白吃的，亂評論的，謾罵的，一律封鎖，我不在乎，現在封鎖比以前舊款APP太有效了。7.老粉絲們對於這種，不是跟我們同路學習的酸民，也可以封鎖才不會看到留言礙眼～我幾乎都看不到酸民留言，因為我早就封鎖了他們了。追蹤我不定時分析看完按讚,"4,728"
1,2021/5/16 00:16,"中鴻, 聯電, 台積電, 群創",長榮群創台積電聯電中鴻孔明筆記本之特殊利空事件止跌位置推測法，1.圖一為大盤月線，去年三月下跌幅度26％，今年五月下跌幅度可以作為參考模式，讓自己心中有個底。2.大盤之神為半導體，半導體之神為台積電，本次事件台積電已經跌到十月線，當然希望十月線有撐，十月線撐不住就得看二十月線。3.台積電跌到哪裡大盤個股幾乎都會跌到那裡。4.大盤止跌要看台積電，不是看其他個股。5.個類股跌到十月線或更低，三個月內可選海運，半導體，面板，鋼鐵，玻璃，金融類股，這些類股票在疫情穩定後，三個月可能回原股價60％到90％。6.今年大盤，個股股價漲原股價或超越，我覺得是不可能的任務，我認為1％吧！所以我低點買進反彈回升時，可能在原股價7成8成9成出光獲利！（高點再見了）7.散戶從最高點沿路加碼加碼加碼，多殺多多殺多多殺多，這些行為都是九成散戶宿命，這也是沒辦法的事，能做到不聽不看亂喊止跌加碼就很厲害了。8.想想面板九成散戶加碼買那麼高，要怪自己老聽別人意見，面板下週一不買，下週二不買，下週三不買，下週四不買，下週五看看低點在哪裡？在考慮可不可以買？每天都覺得是低點了，要止跌了，要噴出了，散戶要怪自己不會分析，不會推測低點，不要去怪別人害你買在高點，戶頭是散戶的，下單是散戶下的，扣股票款是扣散戶的戶頭，不是扣散戶的，觀念要正確！追蹤我不定時分析看完按讚,"2,725"
2,2021/5/13 13:57,"友達, 長榮, 陽明, 群創, 加權指數",群創 長榮  陽明～現在需要下車還是繼續長抱？,分享
3,2021/5/16 05:20,合一,1、大家都知道FB825及速必一是合一的兩條護城河。2、你知我知難道主力會不知嗎？3、主力一直播放洗腦神曲，讓你不要談SNS812，就是怕SNS812異軍突起，壞了它的佈局。4、有的主力佈一個局，可能一年三年，他都在佈局。現在，當然：主力還是在佈局。5、而主力現在怕的就是奇軍。6、FB825以5.3億美元階段性授權，所以只要臨床至一個階段就會有授權金入帳。7、但是FB825可能要等到2027年左右才會上市，上市的分潤金要等上市後才能分到。8、速必一及FB825為何能當做是護城河呢？9、主要是因為它們的研發已經很篤定，因為速必一已經要上市了！而FB825的應答因子已經找到了，這二個護城河都是因為它們失敗的機率很低，所以可以當成合一的護城河。10、但是因為篤定，所以大家都知道。股價當然會照著這二個新藥的研發及上市進度趨堅往上。11、但是在這個趨堅往上的過程，因為主力粗殘無情的上下其手且壓低取貨，讓散戶痛不欲生！12、多方只能尋求實質的利多才能打破多空的平衡狀態！13、而SNS812雖然尚未一期，但是因為是抗病毒的核酸新藥，這個新冠解藥，當然跟速必一或是FB825研發的進度沒得比。14、但是它的優勢就是它是新冠解藥，FB825的新藥研發，只能慢慢用騎腳踏車的速度慢慢研發，而SNS812是可以用坐高鐵的速度快速研發。15、我們剛才提到，FB825要到2027年左右才可能上市，而SNS812若是研發順利，很有可能是二期解盲後，就可申請緊急上市。而現在研發的過程應該也可以走快速通道研發。16、現在SNS812的研發速度跟上市進度，若是比較FB825，它會比FB825快很多。甚至會比ON101美國取得藥証還快！SNS812它跟合一研發的新藥一樣，都是一個全世界未滿足的新藥。17、現在SNS812是在跟全世界的生技廠商比速度，看看誰可以做出療效良好且是第一個研發出來新冠解藥。18、換個角度來看，有些人說就是看好速必一跟FB825這兩個新藥才來投資合一。如果SNS812可以成為另一個護城河，為何不能談呢？19、現在SNS812的研發速度必定很快，其實重點是它可以研發成功嗎？它可不可能打敗全世界的對手。20、我看到竟然有人酸我每天貼SNS812。我每天貼速必一，FB825的文，大家還不是被割假的，難道還要這樣一直割下去嗎？SNS812只要能研發成功，必定是合一的解藥，難道我們不要去研究討論它嗎？還是這只是一個禁言變禁臠，合一的散戶真是乖巧啊！任人宰割啊！21、、如果速必一跟FB825都無法突破主力的佈局，為何不能由SNS812來呢？以合一現在的低迷股價，現在討論SNS812是在坑人嗎？22、如果SNS812的研發不如預期，它當然會被自然淘汰掉，如果它真的有像公司的問與答說的那麼好，那我們為何不去討論它呢？,547
4,2021/5/16 07:56,"寶齡富錦, 高端疫苗, 台康生技",華爾街大亨https://money.udn.com/money/story/12972/5460831?from=ednappsharing,130
5,2021/5/15 16:07,鴻海,防疫等級一、二、三、四分別代表的意思一般都是因為無知才會恐慌，大家搞清楚防疫一、二、三、四級要做的事時，就不會產生非理性的恐慌，相信會看我文章的人都會減少外出不必要的活動，在家中就好好的看看鴻海第一季的法說會，看看a大方格子的文章，這一周的鴻海法說會文章，我寫好了，如下鴻海2021第一季法人說明會https://vocus.cc/article/609f1c34fd897800011cbd52如果有空的話，把一些我在方格子的文章看一看，裡面有不少心理面的文章，看完後，你就比較不會非理性的恐慌，心理面的健全還是得靠平常自己多閱讀才能建立的個人股市研究觀察記錄文章目錄https://vocus.cc/article/5fb91df5fd89780001008ab3所謂的第四級是指連續14天，每天平均確診超過100位以上，且有一半找不到傳染源，為什麼要訂14天呢？因為14天算是一個周期，如果真的走到這一步，代表大部份的人都不鳥防疫，才有可能讓疫情變成這樣，這時政府就僅能選擇無差別的限制大家的行動，不過我認為台灣自制力是很夠，目前和一年半前也不同了，現在台灣是有疫苗可以施打的，雖然目前的量不足，但是隨著愈多人施打，國人提高警覺，理論上很快就能控制下來，之前大家很明顯是太放鬆，最近大家才開始提高警覺，理論上國家如果開始提高警覺，下一波的確診就會有效的降低，目前政府用最快速的方式把確診者找出來，剩下一般國人就要開始展現自己的自制力及團結力，這幾天的確診還是因為之前太放鬆，目前我們開始提高警覺後，大家不用太目前確診的人數感到太憂心，如果1~2周後，在大家這麼高度警覺情況下確診還在增加，那代表病慣傳染力真的太強，前幾天之前，國人對防疫的警覺心是比較放鬆的，所以目前單純就是把太過放鬆時確診的人找出來。第三級就是用法令把全國的全國休閒娛樂場所關閉，禁止進香團與遶境活動，但目前仍維持正常上班、上課，所以各大企業影響有限，接這來這11天還是需要靠大家一起努力，努力的成果可以在一兩周就看到，如果願意以行動來做防疫的，請按個讚，讓大家知道有很多人默默的為防疫努力，我相信這裡的每個人都有能力去影響至少10個人以上，讓他們提高警覺，大家加油。投資中非理性的恐慌就不必了，我投資這十幾年來，只要遇到非基本面的恐慌時買進，基本上三個月，半年，一年後你都是能賺大錢的，前提就是你心理面夠健全，不會波著市場恐慌而起舞，對我們來說，我們是投資企業的價值，很多新手及菜鳥就是在投機，每天動不動就崩潰，然後把手上股票賤賣給別人，然後暗暗發誓從此不再踏進股市，撿到這種的便宜的人，三個月，半年，一年後當然容易就賺大錢，當你在撿便宜前，你必需了解標的的競爭力，這一點你可以透過看我文章去了解鴻海的基本面及競爭力，如果要我直接告訴你，我只能說，鴻海是值得中長線投資的好公司，你完全不必擔心鴻海會因為非理性而有什麼重大的影響，去年covid-19剛爆發時，中國廠停工一個多月，去年鴻海整年還是賺了7.32元，當初殺出65.7元的人，扣掉股4.2元，就是殺在61.5元，一年後，你會發覺都賺了一倍了，這就是所謂的撿便宜。,"2,931"
6,2021/5/15 21:21,"友達, 群創, 彩晶",同學們晚上好，發現一個很好笑的事情，很多傻空的空軍朋友來我這留負評與詛咒我友達回到原點紙上富貴一場。我覺得這些傻空的空軍朋友們，你們也幫幫忙我買友達光電股票是當做自己公司在經營。當別人唱衰我的公司，難道我要放棄繼續經營下去嗎？我又不是像你們傻空的空軍朋友們，友達光電有基本面支撐。有政府八大行庫在逢低承接買盤，投信也專賣為買。我實在看不出來有什麼好擔心害怕，再說我目前還是賺錢狀態。怎麼會因為不理性賣壓而被洗出場，天天來亂天天來唱衰面板。真不知道傻空的空軍朋友安了什麼心，怕帥大叔賺太多錢嗎？真的不要太愛我啦！我只愛年輕貌美女子，我對躲在鍵盤後面魔人實在不敢興趣。帥大叔有點是錢與時間，我就不相信友達光電不會回到它原來的價值。我愛友達光電，我投資友達光電是把它當作自己的事業在經營。不會因為疫情關係而賤賣股票。真的，不用再替我擔心害怕。管好自己的人生吧！帥大叔已經是人生勝利組了。不用羨慕我也不需要嫉妒我，請好好努力工作你也可以像我一樣，有一個美好家庭美嬌娘與台大資優生兒子，我知道很多人羨慕我現在的生活與幸福美滿家庭。謝謝你們這些一直以來傻空的空軍朋友對我的熱情與支持，把時間花在有意義的事情上。真的，不要再來了。我會賺很多錢給傻空的空軍朋友看，請繼續加油努力放空友達光電，最後，勝利會屬於我。,"1,880"
7,2021/5/13 12:46,"中鋼, 陽明",請問各位大大航運股～鋼鐵股還坐在車上需要跳車嗎？,分享
8,2021/5/15 21:51,"友達, 長榮, 彩晶, 加權指數, 合一","親愛的朋友～  我受傷了😭😭  我股票沒受傷  不過我期貨受傷了😭😭  我期貨周三賠1670.9萬   (成交單貼在本篇發文下面的留言區)   (期貨是錯誤示範)  (千萬不要學) 我盤中其實非常非常的忙 最近震盪大  一不小就賠了很多錢😭😭  您如果賠比我少，麻煩您按個讚🙏 怕有損我神人高手的形象   (我好像也沒有神人高手的形象😭😭)  (我好像只有靠甜言蜜語)  (才能當達人的形象😭😭) 本來不想跟您說我周三期貨賠錢的事   但我是笨蛋😭😭 一心想安慰您又不知道該怎麼安慰您  只好跟您說這件事只希望您不要難過🙏只希望您每天都能過得開心 我期貨賠1670.9萬  我都沒難過了 希望您也不要難過🙏  拜託了🙏 親愛的朋友～ 往好的方面想...... 平安就是福🙏  活著的感覺真好  活著就有希望🙏  (不論是生命的活著還是股市的活著)    開心、快樂是一天  傷心、難過也是一天  希望您不要難過🙏希望您每天都能過得開心  大家晚安⭐️🌙一起加油💪 祝您今晚有個好夢 天佑台灣🙏 台股驚心動魄99分鐘！下跌近1,418點 創史上最大跌點等三紀錄2021-05-12 12:33 經濟日報 / 記者張瑞益、魏興中／台北即時報導 台股昨（11）日重挫後，多方信心受到重擊、且台灣疫情出現擴散、基本面上5G手機下半年拉貨有疑慮，各方偏空消息匯集下，今（12）日台股歷經驚心動魄的99分鐘，指數從9點46分到11點25分之內，指數急殺1,387點，台股指數今日盤中最多下跌近1,418點，創下史上最大跌點的紀錄。這個驚心動魄的99分鐘，共創下三大紀錄，包括史上最大跌點1,417.86點、史上最大跌幅8.55%以及最大市值蒸發近4兆元。台股今日早盤在9點46分時，指數僅小跌約31點，指數仍在16,552點位置，不過，由於台股在昨（11）日重挫652點之後，台股多方信心已相當疲軟，多數資金採取觀望態度，若指數出現反彈則獲利了結出場，不料，指數出現下殺之後，引爆資金大逃殺的逃命潮，盤中指數最深下跌多達近1,418點，創下台股史上最大的單日跌點。今日台股指數從9點46分到11點25分之內，指數急殺1387點，經歷台股史上最驚心動魄的99分鐘。市場分析師認為，主要是在台股多方信心潰散，不少預期資金短線極可能面臨斷頭賣壓的資金，在盤勢急殺下，選擇先前自我了結出場。","1,648"
9,2021/5/16 06:02,"長榮, 陽明, 萬海",航運這一大波，我都沒有參與，眼睜睜從8.9元漲到100元，去年新聞一直爆缺櫃缺櫃，很多商品要等櫃來運，股價一直上，當然空手的我怎麼敢去追買，直到第一季財報出來，到陽明財報出來，航運三雄都繳出很好的財報，三雄股價自100到106元都跌下來，我用客觀角度來說，現在報價還創新高今年保守估計能賺25元就好，三雄我用長榮來代表，股價69.8元，（空手的人）是可以開始佈局及往下分批布局，我是以長期來看，短線進出的就不用了，因為短線任何股票都可以玩當沖或隔日沖，很多沒賺錢的公司20-40元元也有人買，賺1-2元公司股價80元也一堆人敢買，全年賺25元的公司69.8元有什麼好怕的，又不是漲到250元？依目前的本益比來看，不到3倍，是能跌到哪去？現在這股價開始佈局，明年配息一定大好，殖利率又是多少，自己去想？空單的人也不敢長空啦！做多的人也會想要買，總而言之就是股價跌人會怕，漲的是後就很勇敢買，這就是人性，股價會說話，就一直看下去吧！,109
